constant,value,units,tag,tier,form,block,band,errs,resolves_by,decided_by,precedent,supplied_by,default,superseded_by,note
CONTESTABILITY_K_SLOPE,1.6,fraction of K₀ per ε unit,placeholder,,the ADVERSARIAL increasing-returns regime — K_entry rises with automation because incumbents' capital advantage compounds. Chosen as the default because it is the hostile case; the replicable regime is the optimistic one.,Contestability (reconciliation §8),,,measured entry costs in an industry across an automation transition.,,,,,,"the regime is the honest uncertainty, not the slope (reconciliation §8.5). Nothing in the data settles which regime a real automation arc follows, and the two give opposite answers about whether exit stays viable."
CONTESTABILITY_K_FLOOR_FRACTION,0.1,fraction of K₀,placeholder,,"in the replicable regime K_entry falls, but not to zero — there is always some minimum founding cost. Structural in that respect, asserted in level.",Contestability (reconciliation §8),,,"the cheapest observed viable founding, which is the empirical floor.",,,,,,
CONTESTABILITY_CHI_WARN,1.2,dimensionless χ ratio,normative,,"CRIT at 1.00 is definitional, not chosen — χ < 1 means the portable endowment cannot cover entry, so exit is notional rather than substantive. WARN at 1.20 is an early-warning margin and is chosen.",Contestability (reconciliation §8),,,,"n/a — SUPERSEDED. §8.9 replaced the ratio with a TIME (t_exit ≤ one vesting period), because a stock target against a flow yields a time, not a ratio. core/dashboard.py now demotes χ to a YELLOW advisory when exit_financeable is supplied.",,,,,
CONTESTABILITY_CHI_CRIT,1.0,dimensionless χ ratio,normative,,"CRIT at 1.00 is definitional, not chosen — χ < 1 means the portable endowment cannot cover entry, so exit is notional rather than substantive. WARN at 1.20 is an early-warning margin and is chosen.",Contestability (reconciliation §8),,,,"n/a — SUPERSEDED. §8.9 replaced the ratio with a TIME (t_exit ≤ one vesting period), because a stock target against a flow yields a time, not a ratio. core/dashboard.py now demotes χ to a YELLOW advisory when exit_financeable is supplied.",,,,,
CONTESTABILITY_PHI_FLOOR,0.1,fraction of automation value held in common,placeholder,,φ(0) — even at subsistence some automation value is commonly held (the Trust baseline).,Contestability (reconciliation §8),,,,,,,,hours_eoh.research.recalibration — §8.9b makes φ(ε) emerge from the charter formation share under a stated policy (dilution / target / escalated) rather than from a floor plus a power law. Kept for the superseded arm.,
CONTESTABILITY_PHI_EXPONENT,1.5,dimensionless power,placeholder,,"sub-linear growth of commonization early in the arc (ε^1.5 rather than ε), asserting that political-economy constraints make rapid commonization hard.",Contestability (reconciliation §8),,,,,,,,"hours_eoh.research.recalibration — the charter-formation model, as above.",
CONTESTABILITY_G_PRIV,0.03,fraction per year,instance,,"g_priv, the private capital growth rate. The Piketty-inversion condition requires dτ/dε ≥ 0, i.e. the Trust must grow faster than private capital.",Contestability (reconciliation §8),,,,,,"real capital returns net of depreciation for the jurisdiction being modelled. Piketty's r series is the standard source and gives 4–5% historically — well above this 3%, so supplying your own makes the Piketty-inversion condition HARDER to satisfy, not easier.","3%/yr, chosen below the historical range. Read the note above first: §8.9c found endogenous g_priv turns negative past ε≈0.5, so this fixed rate is not the operative reading in the adopted model and is retained for the §8.3 comparison.",,"at canonical defaults the levy-alone path to that condition is infeasible (levy_fraction ≫ 1) — the adversarial finding of reconciliation §8.3, and §8.9 showed the failure was the miscalibrated cash-Trust frame rather than the levy. §8.9c then found endogenous g_priv turns NEGATIVE past ε≈0.5, so this fixed 3% is not the operative reading in the adopted model."
CONTESTABILITY_CAPITAL_YIELD_RATE,0.2,fraction per year,derived,,"gross return on automated capital, 1/ν − δ = 1/RECAL_CAPITAL_OUTPUT_RATIO − FORMATION_DEPRECIATION_RATE = 0.25 − 0.05. Used as automated_output_teh = ε × capital_stock × yield. The same identity is already written out in FORMATION_DEPRECIATION_RATE's own block.",Contestability (reconciliation §8),,,,,,,,,
CONTESTABILITY_VESTING_YEARS,5.0,years of federation tenure,normative,,"linear vesting of the Trust dividend. Tenure is FEDERATION-wide (reconciliation §8.7b): moving between collectives never resets the clock or forfeits vested balance, and the sufficiency floor never vests at all — it is membership-independent (§8.1). Matches TIER_ASSESSMENT_INTERVAL_YEARS.",Contestability (reconciliation §8),,,,"a charter decision. Shorter vesting strengthens the marginal member's exit directly, so this is the cheapest lever on contestability the framework has — which is exactly why it belongs in deliberation and not in a data pointer.",,,,,
COASEAN_N_MAX,20,number of collectives,placeholder,,"N(0) — the collective count at maximum fragmentation, consolidating toward N=1 as ε→1 (the existing single-ledger model is that limit case).",Coasean federation (reconciliation §§6–7),,,an institutional study of collective scale against coordination technology — the empirical form of Coase's boundary-of-the-firm question.,,,,,,"a working hypothesis from reconciliation §6, explicitly NOT derived from institutional data. The real count depends on governance, geography and transaction-cost structure, which is the Coasean question the block is named for."
COASEAN_BOUNDARY_EXPONENT,1.0,dimensionless exponent,placeholder,,"N(ε) = max(1, round(N_max × (1−ε)^exp)). Linear by default: the count consolidates in proportion to automation. Higher values front-load consolidation.",Coasean federation (reconciliation §§6–7),,,"as for COASEAN_N_MAX — the same study settles both, and neither is independently identifiable without it.",,,,,,
COASEAN_RESERVE_FRACTION,0.1,fraction of period TEH creation,placeholder,,"each collective's inter-collective reserve, consumed by settlement_check() for imbalance settlement. Analogous to a central-bank FX reserve ratio.",Coasean federation (reconciliation §§6–7),,,"observed reserve ratios in monetary unions and clearing systems, which is a real and well-documented comparator.",,,,,,
COASEAN_IMBALANCE_CEILING,0.5,fraction of the debtor collective's reserve,placeholder,,"the bilateral net-flow credit ceiling (the paper's bilateral-imbalance-ceiling sketch, reconciliation §9-item-4). Within it trade continues on credit; beyond it settlement from reserve is required.",Coasean federation (reconciliation §§6–7),,,"observed bilateral credit limits in real clearing unions — the European Payments Union and regional ACUs set exactly this parameter, so the precedent is concrete.",,,,,,
COASEAN_DEPRECIATION_SLOPE,0.2,dimensionless slope,placeholder,,"factor = 1/(1 + slope × excess_ratio) — exchange-rate depreciation per unit of unsettled imbalance beyond the ceiling. Makes over-issuance a visible exchange rate movement, which is reconciliation §7's transition-regime claim: inflation between collectives shows up as FX, not as a broken price identity.",Coasean federation (reconciliation §§6–7),,,"a proposed functional form, not calibrated from anything. Observed depreciation against payment-imbalance data would settle the slope; the FORM is the substantive claim and it is the part worth arguing.",,,,,,
COASEAN_COMMONS_TITHE,0.03,fraction of each collective's common-fund levy revenue,convention,,"the tithe passed up to the federation commons (reconciliation §8.7a). Adopted from Italian Law 59/1992, which requires cooperatives to contribute 3% of annual surplus to the mutualistic funds — a real statutory rate, and the only real-world calibration point for a federation-level mutual levy. Tagged `convention` rather than CHOSEN because it names a specific external instrument.",Coasean federation (reconciliation §§6–7),,,n/a as a convention. Departing from 3% would make it CHOSEN and require its own argument.,,,,,,"honest adversarial finding, reported not tuned — at 3% the commons floor coverage is tiny, so the federation commons cannot carry the sufficiency floor at the precedent rate."
COASEAN_INDIVISIBLE_RESERVE_FRACTION,0.3,fraction of a collective's trust,convention,,"the unallocated (indivisible) share, credited to no individual capital account, escheating to the federation commons on merger/split/dissolution (reconciliation §8.7c). Adopted from Italian co-op law's statutory ~30% indivisible legal reserve. The allocated remainder follows members' accounts.",Coasean federation (reconciliation §§6–7),,,"n/a as a convention, per COASEAN_COMMONS_TITHE.",,,,,,"the model tracks no individual accounts, so a named fraction is the minimal honest allocated/unallocated split — a tenure-derived fraction would be false precision. Adversarial finding: consolidation escheat drains per-collective dividends, so the worst marginal χ worsens toward ε→1 even as total τ holds."
CONTESTABILITY_MIN_VIABLE_POPULATION,5000.0,persons,placeholder,,"the smallest population that can staff a viable alternative collective — run the four-domain EOH pipeline with a full age distribution and a governance quorum. Deliberately far below Coasean-efficient scale at any ε: a viable alternative need only clear MINIMUM scale, accepting a coordination-cost disadvantage. Requiring optimal scale would make the entry threat vacuous at high ε, because the ""alternative"" would have to be the whole economy.",Coasean federation (reconciliation §§6–7),,,"NOT the derivation this line used to claim. COMPETENCY_THRESHOLD × len(ESSENTIAL_DOMAINS) = 0.155 × 7 = 1.085 is a fraction GREATER THAN ONE, so it yields no headcount at all without a further assumption the repo does not make — namely how many domains one worker may be certified in at once. Condition IV is a per-domain fraction of the workforce, not a partition of it. What would settle this: a minimum-certified-count per domain (an absolute, not a fraction) plus a multi-certification rate, which core/workforce.competency_reserve() would then close over a full age distribution. UNCALIBRATED research placeholder; checked 2026-08-09.",,,,,,
CONTESTABILITY_UNDERWRITE_FRACTION,0.5,fraction of the federation commons per period,normative,,"the ceiling on entry underwriting (§8.8 M2). The remainder stays as the sufficiency-floor backstop (§8.7a) — underwriting must never empty the fund that backs the floor. Underwritten capital moves commons → new collective trust, staying commonized and indivisible (§8.7c), never becoming a personal claim.",Coasean federation (reconciliation §§6–7),,,,"a charter decision on the split between underwriting and backstop. It is a prudential limit, so it resolves by argument — but the ARGUMENT can be made quantitative: the backstop needs to cover the floor at the worst modelled drawdown, which is computable from the fiscal layer.",,,,,
RECAL_CAPITAL_OUTPUT_RATIO,4.0,years (capital stock per unit annual output),convention,,"ν in K(ε) = K₀ + ν·Y(ε). Adopted from Piketty's β (national capital / national income), observed at ≈4–6 across economies; the LOW end is taken as the adversarially-cheap-capital posture, because a smaller commons weakens the underwriting arm. Tagged `convention` because it names a specific measured external series and then picks its conservative edge.",Recalibration and charter formation (§8.9),,,"the capital/income ratio for the jurisdiction being modelled. Moving to the middle of the observed range would strengthen the commons, so the choice is deliberately unflattering to the framework's own result.",,,,,,"this fixed §8.8 open item 3 at the root — the old frame held an ε=0-era stock fixed while ε rose, giving τ = 17.5 for a quantity DEFINED as a share ≤ 1."
RECAL_EPSILON_RATE_PER_YEAR,0.02,ε per year,placeholder,,"arc speed dε/dt — a ~50-year subsistence→post-scarcity transition. Converts per-ε acquisition needs into per-year flows, and faster arcs tighten acquisition feasibility LINEARLY, so this is a real lever on every §8.9 result.",Recalibration and charter formation (§8.9),,,"UNCALIBRATED placeholder, and the obvious derivation is CIRCULAR — formation_feedback_simulation() takes epsilon_rate_per_year as an INPUT to build the target arc it then chases, so reading the realized pace back out is not independent of the constant being set. Measured 2026-08-09: the null anchor (s≡0) reaches ε=0.99 in 39 yr, implying 0.0254/yr against this 0.02 — a 27% disagreement that the circularity makes uninterpretable as it stands. What would settle it: a damped fixed-point solve over (rate, realized pace), the same shape as scenarios/knowledge_base.epsilon_ref_fixed_point(), which closed exactly this defect for the ε_ref anchor.",,,,,,
RECAL_FOUNDING_FRACTION,0.666666666667,fraction of PERSONAL_EOH_BASE,placeholder,,"the share of a person's entropy obligation that a floor-backed founder can redirect into building an alternative collective. Two-thirds leaves a third for their own personal EOH, which the sufficiency floor is meanwhile covering.",Recalibration and charter formation (§8.9),,,time-use data on discretionary hours available to recipients of an unconditional floor. The cash-transfer and basic-income literature measures exactly this — how recipients reallocate time — and would replace the fraction with an observed one.,,,,,,
RECAL_FOUNDING_LABOR_HOURS,666.666666667,hours per year,derived,,"RECAL_FOUNDING_FRACTION × PERSONAL_EOH_BASE = 666.67 h/yr. The sufficiency floor is what frees this labour — the floor IS the entry finance of the low-ε arc, which is the substantive §8.9 claim.",Recalibration and charter formation (§8.9),,,"n/a — it inherits PERSONAL_EOH_BASE's and RECAL_FOUNDING_FRACTION's standing, both CHOSEN.",,,,,,"was a literal 1,000.0, which the 2026-08-06 reprice orphaned from its own stated derivation (see the block comment above). Binding it means a future reprice of PERSONAL_EOH_BASE moves it, as the rationale always implied."
RECAL_EXIT_HORIZON_YEARS,5.0,years,normative,,"exit must be financeable within one vesting period (= CONTESTABILITY_VESTING_YEARS): a member who joins can accumulate the means to leave by the time they fully vest. THIS IS THE RC4 FIX — a stock target (K_entry) against a flow (savable income) yields a TIME, not a ratio, and the retired χ = P/K_entry demanded the founding stock be covered by ONE year of flow, which made the invariant nearly unclosable.",Recalibration and charter formation (§8.9),,,,"a charter decision, bound to the vesting period rather than set independently. The substantive commitment is ""within one vesting period"", not the number 5 — so this resolves whenever CONTESTABILITY_VESTING_YEARS does.",,,,,
RECAL_ACCOUNT_CREDIT_SHARE,0.5,fraction of the annual per-capita dividend,convention,,"the share credited to the member's individual capital account (a stock, per §8.7b) rather than paid as cash. Zero-interest per Condition III: the account is a sum of credits, never compounded. Adopted from Mondragon's internal capital accounts, which retain a share of each year's surplus to member accounts.",Recalibration and charter formation (§8.9),,,"n/a as a convention — but the 0.50 is rounder than Mondragon's actual practice, so the precedent supports the MECHANISM more strongly than the level.",,,,,,
RECAL_ESTATE_CAPITAL_ESCHEAT_SHARE,0.15,fraction of a decedent's private capital estate,derived,,"set EQUAL to ESTATE_LEVY_FRACTION — capital estates are treated exactly like TEH estates, so this is the existing D5 doctrine extended to capital rather than a new rule. That is the whole point of the value, and it should be bound to ESTATE_LEVY_FRACTION rather than restated as a literal.",Recalibration and charter formation (§8.9),,,n/a — it inherits ESTATE_LEVY_FRACTION's standing (a charter decision).,,,,,,
RECAL_ESCALATION_ESTATE_SHARE,1.0,fraction of a capital estate,normative,,full generational conversion while a §8.9b charter escalation is active (Piketty's inheritance-tax instrument). No living holder is ever divested; conversion happens at mortality speed.,Recalibration and charter formation (§8.9),,,,"a charter decision — the maximum is definitionally 1.0, so the only question is whether full conversion is the right escalation, not what number it is.",,,,,"even at 1.0 the private-capital half-life is ≈69 years at the 1%/yr death rate, so φ → target is asymptotic over generations and the exit invariant never depends on reaching it. At canonical defaults the escalation NEVER fires."
RECAL_ESCALATION_CAPACITY_FLOOR,10.0,number of foundings financeable per period,normative,,"the underwriting capacity below which the charter escalates (with the adversarial regime observed) — the commons must always be able to finance about an order of magnitude more foundings than one, because a commons that can fund exactly one alternative is not a credible entry threat.",Recalibration and charter formation (§8.9),,,,a charter decision on the credible-threat margin.,,,,,"UNCALIBRATED placeholder. At canonical defaults capacity stays ≈145–280, so the trigger never fires and this constant has never been exercised by a shipped run."
FORMATION_DEPRECIATION_RATE,0.05,fraction per year,derived,,"derived from CAPITAL_MACHINE_PROFILES design lives (≈20 yr → δ ≈ 1/20) — the aggregate counterpart of the per-asset lifecycle in core/capital.py. Gross return on capital = 1/ν − δ = 0.25 − 0.05 = 0.20 at defaults, and the commons replacement cost δ·T_K is a ≈20–24% haircut on the gross dividend.",Formation feedback (§8.9c),,,"n/a — it inherits CAPITAL_MACHINE_PROFILES' standing, which is CHOSEN. See DEP_RATE (0.045) for the same physical quantity derived a second way; the two should be reconciled to one.",,,,,,
FORMATION_HURDLE_RATE_MIN,0.02,net return per year,placeholder,,"the linear private-supply curve — no formation below the hurdle rate, all needed formation supplied at or above the full-supply rate, heterogeneous hurdle rates in between. Implies the incentive-compatible charter share s* = 1 − 0.10/0.20 = 0.50.",Formation feedback (§8.9c),,,"UNCALIBRATED placeholders. No observed economy runs at zero interest with an accumulation ceiling, so there is no series to read these off — the counterfactual is the argument and the sensitivity is the honest output.",,,,,,"THE HURDLE IS LOW BECAUSE OF CONDITION III, and that is the finding, not an assumption: idle TEH earns zero interest and leaks via the accumulation ceiling (D6) and estate dissolution (D5), so the opportunity cost of investing is uniquely small and only risk compensation remains. A fiat-like 0.18 full-supply rate gives s* ≈ 0.10 — i.e. zero interest is what makes the charter affordable, quantified. Raising the hurdle toward fiat levels IS the Condition III counterfactual."
FORMATION_FULL_SUPPLY_RATE,0.1,net return per year,placeholder,,"the linear private-supply curve — no formation below the hurdle rate, all needed formation supplied at or above the full-supply rate, heterogeneous hurdle rates in between. Implies the incentive-compatible charter share s* = 1 − 0.10/0.20 = 0.50.",Formation feedback (§8.9c),,,"UNCALIBRATED placeholders. No observed economy runs at zero interest with an accumulation ceiling, so there is no series to read these off — the counterfactual is the argument and the sensitivity is the honest output.",,,,,,"THE HURDLE IS LOW BECAUSE OF CONDITION III, and that is the finding, not an assumption: idle TEH earns zero interest and leaks via the accumulation ceiling (D6) and estate dissolution (D5), so the opportunity cost of investing is uniquely small and only risk compensation remains. A fiat-like 0.18 full-supply rate gives s* ≈ 0.10 — i.e. zero interest is what makes the charter affordable, quantified. Raising the hurdle toward fiat levels IS the Condition III counterfactual."
MEMBERSHIP_VESTING_WARN_YEARS,10.0,years,derived,,2 × CONTESTABILITY_VESTING_YEARS — a dividend held hostage for twice the vesting period thins the marginal member's exit without formally breaching χ. Should be BOUND to that constant rather than restated as 10.0.,Membership-terms audit thresholds (§8.7e),,,n/a — inherits CONTESTABILITY_VESTING_YEARS' standing.,,,,,,
MEMBERSHIP_EXIT_NOTICE_WARN_YEARS,1.0,years of exit notice,normative,,"WARN at one year (friction accumulating), CRIT at three. The CRIT is close to definitional under reconciliation §8.1: exit deferred three years is nominal, not substantive, so the term itself breaches the invariant whatever χ reads.",Membership-terms audit thresholds (§8.7e),,,,"a charter decision, with real precedent — cooperative and partnership withdrawal-notice periods are documented and would give an observed distribution to place these against.",,,,,
MEMBERSHIP_EXIT_NOTICE_CRIT_YEARS,3.0,years of exit notice,normative,,"WARN at one year (friction accumulating), CRIT at three. The CRIT is close to definitional under reconciliation §8.1: exit deferred three years is nominal, not substantive, so the term itself breaches the invariant whatever χ reads.",Membership-terms audit thresholds (§8.7e),,,,"a charter decision, with real precedent — cooperative and partnership withdrawal-notice periods are documented and would give an observed distribution to place these against.",,,,,
MEMBERSHIP_MIN_HOURS_WARN_FRACTION,0.5,fraction of PERSONAL_EOH_BASE,normative,,"WARN above half the personal entropy load, CRIT at or above the whole of it. The CRIT is definitional rather than chosen: an obligation equal to a person's entire entropy load is compulsion, not a membership term (§9-item-7).",Membership-terms audit thresholds (§8.7e),,,,a charter decision on the maximum obligation membership may impose.,,,,,"THESE ARE FRACTIONS, SO THEY MOVED WITH THE REPRICE. At PERSONAL_EOH_BASE = 1000 they are 500 and 1,000 h/yr; docs/parameter_provenance.md still printed the pre-reprice 750 and 1500. Caught by this migration and corrected — and the reason the gate now includes a curated test over prose-restated derived figures, which a value-equality check cannot see."
MEMBERSHIP_MIN_HOURS_CRIT_FRACTION,1.0,fraction of PERSONAL_EOH_BASE,normative,,"WARN above half the personal entropy load, CRIT at or above the whole of it. The CRIT is definitional rather than chosen: an obligation equal to a person's entire entropy load is compulsion, not a membership term (§9-item-7).",Membership-terms audit thresholds (§8.7e),,,,a charter decision on the maximum obligation membership may impose.,,,,,"THESE ARE FRACTIONS, SO THEY MOVED WITH THE REPRICE. At PERSONAL_EOH_BASE = 1000 they are 500 and 1,000 h/yr; docs/parameter_provenance.md still printed the pre-reprice 750 and 1500. Caught by this migration and corrected — and the reason the gate now includes a curated test over prose-restated derived figures, which a value-equality check cannot see."
MEMBERSHIP_DIVIDEND_POLICY_WARN,0.25,fraction of the pro-rata dividend,normative,,"distributing less than a quarter of the pro-rata dividend to accounts → WARN, because retention rebuilds the undistributed-commons honeypot INSIDE the collective that the indivisible-reserve escheat rule exists to defuse.",Membership-terms audit thresholds (§8.7e),,,,a charter decision on minimum distribution.,,,,,
A_EARTH_M2,5.101e+14,m²,physics,,Earth surface area. Definitional geometry.,Thermal sink — budget chain (P0),,,,,,,,,
SIGMA_SB,5.670374419e-08,W·m⁻²·K⁻⁴,physics,,the Stefan–Boltzmann constant. A physical constant of nature.,Thermal sink — budget chain (P0),,,,,,,,,
EARTH_EMISSION_TEMPERATURE_K,255.0,kelvin,derived,,"Earth's effective emission temperature — the blackbody temperature that radiates the absorbed solar flux. Computable as (S₀(1−α)/4σ)^¼ from the solar constant and planetary albedo; neither is carried here, so the standard value is adopted and the derivation is stated rather than run.",Thermal sink — budget chain (P0),,,"nothing — a standard geophysical quantity. It moves only if the solar constant or planetary albedo is revised, and carrying those two would let this be computed rather than adopted.",,,,,,"EXISTS TO GIVE SIGMA_SB SOMETHING TO DO. `SIGMA_SB` is one of only two `physics`-tagged constants in this file and was read by NOTHING until 2026-08-17 — the headline ""only 2 constants are physics"" was true and neither was doing any work. Paired with this temperature it yields the Planck feedback 4σT³ = 3.761 W·m⁻²·K⁻¹, which bounds THERMAL_LAMBDA_FEEDBACK from above (research/thermal_lambda.planck_feedback). Before that, the Planck term lived as the prose ""Planck-only ≈ 3.2"" in this file's λ note and in thermal_path_c.json — a number governing the model from inside a comment, the same shape as WORLD_POPULATION and SLU_HECTARES."
SECONDS_PER_YEAR,31557600.0,seconds,convention,,"Δt_s for a one-year period — 365.25 d, the Julian year. A stated denominator; the choice between Julian, tropical and calendar years is a convention and matters at the 4th significant figure.",Thermal sink — budget chain (P0),,,,,,,,,
THERMAL_LAMBDA_FEEDBACK,1.2,W·m⁻²·K⁻¹,bounded,C,"the EQUILIBRIUM climate feedback parameter. FRAME DISCIPLINE: it pairs only with the equilibrium budget λ·ΔT − F. The historical 1.492 pairs with a transient reading the framework rejects; mixing them inflates the allowance ~6×, and thermal_lambda.budget_forcing_headroom() refuses it.",Thermal sink — budget chain (P0),"1.2–1.7 W·m⁻²·K⁻¹ — AR6-implied 1.310 at ECS 3.0 K, historical energy-budget ratio 1.492, and regression 1.693 ± 0.472 over 53 yr, the last two derived from the shipped IGCC series (research/thermal_lambda.py).","LOW, deliberately the conservative side: a LOWER λ means a SMALLER budget and a LARGER obligation, so 1.2 is not flattering the framework. But the band is not the real uncertainty — λ_equilibrium cannot be assessed from the shipped data at all, because converting historical to equilibrium needs the pattern effect. Across AR6's likely ECS range the budget runs from ZERO to ~11× the shipped case; never publish a ψ*-derived figure without λ and that band.","an assessed ECS with uncertainty — an EXTERNAL input, not a rearrangement of what we already hold.",,,,,,"BEST GUESS, AND IT STAYS ONE (checked 2026-08-05): λ_equilibrium CANNOT be assessed from the shipped data. Two independent estimators of the HISTORICAL feedback agree — 1.492 (ratio) and 1.693 ± 0.472 (regression, 53 yr) — but converting historical to equilibrium needs the pattern effect, which requires pattern-forced model experiments or paleoclimate constraints. Neither is derivable from ERF, EEI and GMST. The value is unchanged but its POSITION is now derived: it sits below the AR6-implied 1.310 (ECS 3.0 K) and below the historical energy-budget estimate, so 1.2 is the CONSERVATIVE side — a lower λ means a smaller budget and a LARGER obligation, and it was not flattering the result. SENSITIVITY IS FIRST-CLASS: across AR6's likely ECS range the budget runs from ZERO (ECS 5 K) to ~11× the shipped case. Never publish a ψ*-derived figure without λ and that band."
THERMAL_F_GHG,3.0,W·m⁻²,bounded,C,"anthropogenic well-mixed GHG forcing, at the order of AR6. Lowering it raises the budget, which is finding F3: decarbonization and automation headroom trade against each other.",Thermal sink — budget chain (P0),"3.0–3.585 W·m⁻², from AR6-order to the measured IGCC 2025a well-mixed GHG ERF","LOW, AND THIS IS THE UNSAFE DIRECTION. Lowering F raises the budget, so 3.0 against the measured 3.585 overstates the allowance and understates the obligation. Superseded in practice by THERMAL_F_NET_ERF / THERMAL_F_WMGHG_ERF (measured, Tier A); this P0 constant is retained only for the scaffolding bound.","a published forcing assessment — already done, see the Path C block.",,,,,,"SUPERSEDED IN PRACTICE by the Path C measured values (THERMAL_F_WMGHG_ERF = 3.585, IGCC 2025a, Tier A). This P0 constant is retained for the scaffolding bound."
THERMAL_F_ALB,0.0,W·m⁻²,placeholder,D,"net anthropogenic albedo forcing. Defaults to ZERO, which is a placeholder standing in for a quantity that is not zero — land-use albedo change is a real forcing term (IGCC assesses it at roughly −0.2 W·m⁻²).",Thermal sink — budget chain (P0),,,the land-use albedo term from the same IGCC synthesis already shipped in reference/data/ for the other forcing constants — reachable from data in hand.,,,,,,"the default understates the budget rather than overstating it, so it errs toward a larger obligation, which is the framework's preferred direction of error."
THERMAL_DT_LO,2.0,K,placeholder,D,the assessed habitability threshold.,Thermal sink — budget chain (P0),,,a habitability assessment naming the variable that actually binds — not a GMST round number.,,,,,,"THE SINGLE MOST LEVERAGED INPUT IN THE WHOLE THERMAL LAYER. It sets the overage, the drawdown job and the obligation, and it is the framework's own judgment rather than a measurement. 2.0 K is adopted because it keeps results stable and lands inside the indeterminate band, NOT because it is assessed. It may well be judged too HIGH later, and every downward revision ENLARGES the obligation (1.5 K is ~1.5× the job). Assess in land extremes and convert by ÷THERMAL_TXX_PER_GMST per C6."
THERMAL_COMMONS_RESERVE,0.2,fraction of the thermal budget,normative,,"r — the share held in reserve rather than allocated. RATCHETED DOWN ONLY, which is the governance property that matters more than the level: a reserve that can be raised again is not a commitment.",Thermal sink — budget chain (P0),,,,a charter decision on precautionary margin. No measurement settles how much of a planetary budget to leave unspent.,,,,,
THERMAL_ANTHROPOGENIC_DISSIPATION_W,2e+13,W (global total),measured,C,"the present Φ_other reference — anthropogenic heat dissipation not attributable to modelled automation capital, ~0.04 W·m⁻² when spread over A_EARTH_M2.",Thermal sink — budget chain (P0),,,a global energy-balance inventory. The order is well established from primary energy consumption; the split between Φ_other and Φ_auto is the framework's own partition and is where the uncertainty sits.,,,,,,
THERMAL_IOTA_FLOOR_PERSONAL,360000.0,joules per EOH fulfilled,placeholder,D,"the per-domain thermodynamic MINIMUM joules to fulfill one EOH by machine (E27). Ordering follows the handoff: personal and infrastructure carry real caloric and enthalpy floors, while knowledge's Landauer floor is astronomically lower (finding F6). One EOH is one hour of entropy-obligation-equivalent, and the J/EOH mapping is the open quantity.",Thermal sink — budget chain (P0),,,"measured ι via the handoff §13.1 ladder D→C→B. Path C (research/thermal_path_c.py) already bypasses these entirely — ι and EOH_total cancel in ε_max = ε_current · budget / Φ_auto — so the measured route exists and these are retained for the provable bound, not for reported results.",,,,,,"THE GATING UNCERTAINTY OF THE P0 LAYER, and a floor-based bound can only OVERSTATE ε_max (real ι ≥ ι_floor) — so a floor bound < 1 would be CONCLUSIVE (F2), while a bound ≥ 1 is inconclusive and points to the measured-ι ladder rather than to changing these numbers. At non-degenerate constants the bound comes back ε_max ≫ 1 → INCONCLUSIVE, which is the honest P0 result: the thermodynamic floor is too low to bind automation."
THERMAL_IOTA_FLOOR_INFRASTRUCTURE,360000.0,joules per EOH fulfilled,placeholder,D,"the per-domain thermodynamic MINIMUM joules to fulfill one EOH by machine (E27). Ordering follows the handoff: personal and infrastructure carry real caloric and enthalpy floors, while knowledge's Landauer floor is astronomically lower (finding F6). One EOH is one hour of entropy-obligation-equivalent, and the J/EOH mapping is the open quantity.",Thermal sink — budget chain (P0),,,"measured ι via the handoff §13.1 ladder D→C→B. Path C (research/thermal_path_c.py) already bypasses these entirely — ι and EOH_total cancel in ε_max = ε_current · budget / Φ_auto — so the measured route exists and these are retained for the provable bound, not for reported results.",,,,,,"THE GATING UNCERTAINTY OF THE P0 LAYER, and a floor-based bound can only OVERSTATE ε_max (real ι ≥ ι_floor) — so a floor bound < 1 would be CONCLUSIVE (F2), while a bound ≥ 1 is inconclusive and points to the measured-ι ladder rather than to changing these numbers. At non-degenerate constants the bound comes back ε_max ≫ 1 → INCONCLUSIVE, which is the honest P0 result: the thermodynamic floor is too low to bind automation."
THERMAL_IOTA_FLOOR_ECOLOGICAL,36000.0,joules per EOH fulfilled,placeholder,D,"the per-domain thermodynamic MINIMUM joules to fulfill one EOH by machine (E27). Ordering follows the handoff: personal and infrastructure carry real caloric and enthalpy floors, while knowledge's Landauer floor is astronomically lower (finding F6). One EOH is one hour of entropy-obligation-equivalent, and the J/EOH mapping is the open quantity.",Thermal sink — budget chain (P0),,,"measured ι via the handoff §13.1 ladder D→C→B. Path C (research/thermal_path_c.py) already bypasses these entirely — ι and EOH_total cancel in ε_max = ε_current · budget / Φ_auto — so the measured route exists and these are retained for the provable bound, not for reported results.",,,,,,"THE GATING UNCERTAINTY OF THE P0 LAYER, and a floor-based bound can only OVERSTATE ε_max (real ι ≥ ι_floor) — so a floor bound < 1 would be CONCLUSIVE (F2), while a bound ≥ 1 is inconclusive and points to the measured-ι ladder rather than to changing these numbers. At non-degenerate constants the bound comes back ε_max ≫ 1 → INCONCLUSIVE, which is the honest P0 result: the thermodynamic floor is too low to bind automation."
